origin_w,chapter,deck,origin,meaning,tip,viewed
Practical,7,1,,of or concerned with the actual doing or use of something rather than with theory and ideas.,,0
Reserved,7,1,,slow to reveal emotion or opinions.,,0
rebel,7,1,,a person who rises in opposition or armed resistance against an established government or leader.,,0
"Unemotional, lacking sensitivity",7,1,,not having or showing strong feelings.,,0
Stubborn,7,1,,having or showing dogged determination not to change one's attitude or position on something,,0
Beautiful,7,2,,pleasing the senses or mind aesthetically.,,0
Goodness/morality,7,2,,principles concerning the distinction between right and wrong or good and bad behaviour.,,0
excellence,7,2,,the quality of being outstanding or extremely good.,,0
Grand,7,2,,"magnificent and imposing in appearance, size, or style.",,0
To overwhelm,7,2,,To have a strong emotional effect on.,,0
Agitated,7,3,,feeling or appearing troubled or nervous.,,0
Disloyal,7,3,,"failing to be loyal to a person, country, or organization to which one has obligations.",,0
A mark of shame,7,3,,a painful feeling of humiliation or distress caused by the consciousness of wrong or foolish behaviour.,,0
To leave in secret,7,3,,To exit a place without anyone's knowledge,,0
Disorganized/not aware,8,1,,not properly planned and controlled; having no knowledge of a situation or fact.,,0
Large disorder/confusion,8,1,,"uncertainty about what is happening, intended, or required.",,0
bold,8,1,,showing a willingness to take risks; confident and courageous,,0
To increase in power,8,1,,the ability or capacity to do something or act in a particular way.,,0
Evil/immorality,8,2,,the state or quality of being immoral; wickedness.,,0
To overindulge,8,2,,have too much of something enjoyable,,0
To grow,8,2,,become larger or greater over a period of time; increase.,,0
To spread quickly,8,2,,extend over a large or increasing area in a short amount of time.,,0
Honesty,8,2,,the quality of being free of deceit; truthful and sincere.,,0
Excess of something,8,3,,In abundance; too much of something,,0
To shrink,8,3,,become or make smaller in size or amount.,,0
To reduce in amount,8,3,,"make smaller or less in amount, degree, or size.",,0
To lie,8,3,,Hide the truth but stating a false statement,,0
To give generously,9,1,,liberal in giving or sharing; unselfish,,0
Shortage of something,9,1,,a state or situation in which something needed cannot be obtained in sufficient amounts.,,0
Seems true but is not,9,1,,A false statement that most likely appears to be true,,0
To pretend & hide ,9,1,,"to behave as if something is true when you know that it is not, especially in order to deceive people",,0
Deceit/trickery,9,2,,the action or practice of deceiving someone by concealing or misrepresenting the truth.,,0
Boring,9,2,,not interesting; tedious.,,0
Dogmatic,9,3,,inclined to lay down principles as undeniably true.,,0
To make impure,9,3,,mixed with foreign matter; adulterated; morally wrong,,0
Sharp & unfavorable to senses,9,3,,A peculiar and unpleasent sensation,,0
Correct behavior,10,1,,"the ideal way in which one acts or conducts oneself, especially towards others.",,0
Lacking self-confidence,10,1,,Having less trust or faith that you have in yourself and your abilities,,0
Effectiveness,10,1,,the degree to which something is successful in producing a desired result; success.,,0
Rest,10,1,,"cease work or movement in order to relax, sleep, or recover strength.",,0
Something inducing sleep,10,1,,Any word that directly or loosely relates to sleep.,,0
Lack of feeling,10,2,,devoid of a normal capacity to feel ,,0
Apathy,10,2,,"lack of interest, enthusiasm, or concern.",,0
Temporary,10,2,,lasting for only a limited period of time; not permanent.,,0
Something intended to delay,10,3,,make (someone or something) late or slow.,,0
Old age/maturity,10,3,,"the state, fact, or period of being mature.",,0
Young/immature,10,3,,having or showing an emotional or intellectual development appropriate to someone younger.,,0
Old-fashioned,10,3,,in or according to styles or types no longer current; not modern.,,0
Happy,10,3,,feeling or showing pleasure or contentment.,,0
Sad,11,1,,feeling or showing sorrow; unhappy.,,0
calm,11,1,,"not showing or feeling nervousness, anger, or other strong emotions.",,0
Extreme dislike,11,1,,feel distaste for or hostility towards.,,0
Honest in speech,11,1,,A truthful and sincere talk,,0
Separate/discontinuous,11,2,,having intervals or gaps.,,0
To mix together,11,2,,To combine multiple substances together,,0
Deviating from the norm,11,2,,"to stray especially from a standard, principle",,0
Doubtful/Uncertain,11,2,,feeling uncertain about something.,,0
True/accurate,11,2,,correct in all details; exact.,,0
Fear/caution,11,3,,Being afraid and watchful,,0
Togetherness/continuous,11,3,,the state of being close to another person; forming an unbroken whole,,0
of a similar kind,11,3,,having characteristics in common : strictly comparable,,0
"Firm belief, usually religious",11,3,,"an acceptance that something exists or is true, especially one without proof.",,0
Obscure,12,1,,not discovered or known about; uncertain.,,0
Contradiction,12,1,,"a combination of statements, ideas, or features which are opposed to one another.",,0
puzzle,12,1,,cause (someone) to feel confused because they cannot understand something.,,0
Clearly and easily understood,12,1,,"Clear: meaning easy to perceive, understand, or interpret.",,0
Obvious,12,1,,"easily perceived or understood; clear, self-evident, or apparent.",,0
To deceive,12,1,,"deliberately cause (someone) to believe something that is not true, especially for personal gain.",,0
To judge a dispute,12,2,,To evaluate a disagreement,,0
Agreement,12,2,,harmony or accordance in opinion or feeling.,,0
Agreeable,12,2,,quite enjoyable and pleasurable; pleasant.,,0
Disagreement,12,2,,lack of consensus or approval.,,0
To deny/render invalid,12,3,,state that one refuses to admit the truth or existence of.,,0
To pardon/excuse,12,3,,the action of forgiving or being forgiven for an error or offence.,,0
Like/ Attraction,12,3,,the action or power of evoking interest in or liking for someone or something.,,0
Repulsion/ Dislike,12,3,,a feeling of intense distaste or disgust.,,0
