word,similar
ossify,congeal
ossify,fossilize
ossify,freeze
ossify,harden
ossify,indurate
ossify,petrify
ossify,solidify
ossify,stiffen
ossify,thicken
quack,bum
quack,dissembling
quack,fake
quack,phony
quack,pretended
quack,pseudo
quack,sham
quack,simulated
commodious,convenient
emaciate,attenuate
emaciate,cook
emaciate,cut
emaciate,delete
emaciate,disperse
emaciate,doctor
emaciate,edit
emaciate,expand
emaciate,extenuate
emaciate,lace
emaciate,needle
emaciate,rarefy
emaciate,reduce
emaciate,shave
emaciate,spike
emaciate,water
pariah,bum
pariah,castaway
pariah,deportee
pariah,derelict
pariah,exile
pariah,expatriate
pariah,fugitive
pariah,hobo
pariah,rascal
pariah,refugee
pariah,tramp
pariah,undesirable
pariah,vagrant
pariah,waif
fixate,direct
prim,correct
prim,spruce
prim,stickling
prim,tidy
prim,uncluttered
thwart,baffle
thwart,balk
thwart,beat
thwart,bilk
thwart,check
thwart,confuse
thwart,crab
thwart,cramp
thwart,crimp
thwart,cross
thwart,dash
thwart,disappoint
thwart,ditch
thwart,dodge
thwart,duck
thwart,match
thwart,outwit
thwart,pit
thwart,queer
thwart,restrain
thwart,ruin
thwart,scotch
thwart,skin
thwart,snafu
thwart,trammel
thwart,upset
vilify,abuse
vilify,asperse
vilify,attack
vilify,blister
vilify,censure
vilify,curse
vilify,cuss
vilify,debase
vilify,dig
vilify,jinx
vilify,knock
vilify,libel
vilify,pan
vilify,rap
vilify,roast
vilify,scorch
vilify,slam
vilify,slur
vilify,traduce
vilify,vituperate
vilify,voodoo
transgress,infringe
transgress,trespass
transgress,violate
hegemony,authority
hegemony,command
hegemony,leadership
hegemony,power
hegemony,predominance
insinuate,allude
insinuate,ascribe
insinuate,connote
insinuate,imply
insinuate,impute
insinuate,indicate
insinuate,intimate
insinuate,mention
insinuate,propose
insinuate,purport
insinuate,refer
insinuate,signify
recast,copied
recast,duplicated
recast,imitated
recast,reciprocated
recast,redone
recast,reduplicated
recast,refashioned
recast,remade
recast,replicated
recast,reproduced
recast,reworked
intransigence,bullheadedness
intransigence,contumacy
intransigence,doggedness
intransigence,grimness
intransigence,indomitability
intransigence,inexorability
intransigence,inexorableness
intransigence,inflexibleness
intransigence,intransigency
intransigence,mulishness
intransigence,obduracy
intransigence,perseverance
intransigence,pertinacity
intransigence,pigheadedness
intransigence,relentlessness
intransigence,rigidity
intransigence,rigidness
infuse,implant
infuse,indoctrinate
infuse,ingrain
infuse,inoculate
infuse,plant
engrossing,consuming
engrossing,controlling
engrossing,monopolizing
engrossing,obsessing
engrossing,preoccupying
engrossing,provoking
covert,private
covert,privy
covert,secret
fracas,affray
fracas,battle
fracas,broil
fracas,dispute
fracas,hassle
fracas,row
fracas,ruction
fracas,ruffle
fracas,rumpus
fracas,run-in
fracas,scrimmage
fracas,set-to
fracas,stew
fracas,trouble
fracas,words
putrefaction,adulteration
putrefaction,atrophy
putrefaction,blight
putrefaction,breakdown
putrefaction,caries
putrefaction,consumption
putrefaction,corrosion
putrefaction,decadence
putrefaction,decline
putrefaction,decomposition
putrefaction,decrease
putrefaction,decrepitude
putrefaction,degeneracy
putrefaction,degeneration
putrefaction,depreciation
putrefaction,deterioration
putrefaction,dilapidation
putrefaction,disintegration
putrefaction,disrepair
putrefaction,dissolution
putrefaction,downfall
putrefaction,dying
putrefaction,extinction
putrefaction,fading
putrefaction,failing
putrefaction,gangrene
putrefaction,impairment
putrefaction,mortification
putrefaction,putrescence
putrefaction,putridity
putrefaction,putridness
putrefaction,rot
putrefaction,rottenness
putrefaction,rotting
putrefaction,ruin
putrefaction,ruination
putrefaction,rust
putrefaction,senescence
putrefaction,spoilage
putrefaction,spoilation
putrefaction,wasting
putrefaction,withering
ebullience,agitation
ebullience,animation
ebullience,effervescence
ebullience,effusiveness
ebullience,excitement
ebullience,exhilaration
ebullience,ferment
ebullience,high-spiritedness
ebullience,vitality
ebullience,vivacity
ebullience,zest
colander,sifter
colander,utensil
festoon,garnish
festoon,wreath
cower,blench
cower,bootlick
cower,fawn
cower,grovel
cower,honey
cower,kowtow
cower,quail
cower,shrink
cower,sneak
cower,toady
cower,truckle
proclivity,bent
proclivity,bias
proclivity,disposition
proclivity,druthers
proclivity,facility
proclivity,flash
proclivity,groove
proclivity,leaning
proclivity,proneness
proclivity,type
proclivity,weakness
assail,abuse
assail,assault
assail,beset
assail,blister
assail,bust
assail,charge
assail,encounter
assail,invade
assail,malign
assail,maltreat
assail,molest
maul,bang
maul,bash
maul,batter
maul,beat
maul,buffet
maul,claw
maul,clean
maul,flagellate
maul,flail
maul,hit
maul,hurt
maul,ill-treat
maul,lash
maul,maltreat
maul,muscle
maul,paste
maul,paw
maul,pelt
maul,pound
maul,skin
maul,wax
maul,whip
forfeit,cost
forfeit,damages
forfeit,fine
forfeit,loss
forfeit,mulct
forfeit,penalty
forfeit,relinquishment
burnish,buff
burnish,furbish
burnish,glance
burnish,glaze
burnish,gloss
burnish,luster
burnish,patina
burnish,rub
burnish,sheen
burnish,shine
burnish,smooth
burnish,wax
stingy,ungenerous
penury,barrenness
penury,dearth
penury,destitution
penury,indigence
penury,insufficiency
penury,need
penury,privation
penury,scantiness
gnaw,champ
gnaw,chaw
gnaw,consume
gnaw,corrode
gnaw,crunch
gnaw,devour
gnaw,erode
gnaw,gum
gnaw,masticate
gnaw,munch
gnaw,wear
occluded,choke
occluded,clog
occluded,close
occluded,congest
occluded,curb
occluded,fill
occluded,hinder
occluded,impede
occluded,obstruct
occluded,plug
occluded,seal
occluded,shut
occluded,stopper
occluded,throttle
ire,conniption
ire,rage
ire,wrath
wean,halt
wean,remove
savant,academic
savant,bookworm
savant,brain
savant,egghead
savant,expert
savant,intellect
savant,intellectual
savant,learner
savant,master
savant,philosopher
savant,pundit
savant,sage
beatify,deify
beatify,exalt
beatify,glorify
pry,bug
pry,gape
pry,gaze
pry,hunt
pry,inquire
pry,intrude
pry,investigate
pry,meddle
pry,nose
pry,peek
pry,peep
pry,peer
pry,ransack
pry,reconnoiter
pry,rubberneck
pry,search
pry,snoop
pry,spy
pry,stare
pry,tap
pry,wiretap
adamant,firm
adamant,immovable
adamant,pat
adamant,set
adamant,stiff
glut,excess
glut,nimiety
glut,plenitude
glut,superfluity
glut,surfeit
crease,bend
crease,bulge
crease,cockle
crease,corrugation
crease,furrow
crease,groove
crease,line
crease,overlap
crease,pleat
crease,plica
crease,pucker
crease,ridge
crease,ruck
crease,tuck
ascertain,check
ascertain,dig
ascertain,discover
ascertain,establish
ascertain,eye
ascertain,eyeball
ascertain,fix
