word,similar
presumptuous,The man seemed too 
presumptuous,presumptuous
presumptuous," to be a humble leader for the nation, so he was not elected."
stouthearted,ABSENT
stout,"""May I stay a little longer?"" he said, letting his "
stout,stout
stout, body sink into an armchair beside her.
