words,similar,,,,,
Incongruous,weird,13,,,,
Ludicrous,weird,13,,,,
Ridiculous,weird,13,,,,
Uncommon,weird,13,,,,
Unnatural,weird,13,,,,
Abnormal,weird,10,,,,
Eccentric,weird,10,,,,
Erratic,weird,10,,,,
Exotic,weird,10,,,,
Extraordinary,weird,10,,,,
Frantic,weird,10,,,,
Heteromorphic,weird,10,,,,
Hideous,weird,10,,,,
Outlandish,weird,10,,,,
Whimsical,weird,10,,,,
Abnormal,weird,12,,,,
Eccentric,weird,12,,,,
Extraordinary,weird,12,,,,
Grotesque,weird,12,,,,
Heteromorphic,weird,12,,,,
Inexplicable,weird,12,,,,
Infrequent,weird,12,,,,
Ludicrous,weird,12,,,,
Outlandish,weird,12,,,,
Uncommon,weird,12,,,,
Unnatural,weird,12,,,,
Whimsical,weird,12,,,,
Abnormal,weird,12,,,,
Alien,weird,12,,,,
Causal,weird,12,,,,
Erratic,weird,12,,,,
Exotic,weird,12,,,,
Extraordinary,weird,12,,,,
Heteromorphic,weird,12,,,,
Outlandish,weird,12,,,,
Phenomenal,weird,12,,,,
Uncommon,weird,12,,,,
Unnatural,weird,12,,,,
Whimsical,weird,12,,,,
Abnormal,weird,9,,,,
Characteristic,weird,9,,,,
Eccentric,weird,9,,,,
Exotic,weird,9,,,,
Heteromorphic,weird,9,,,,
Inexplicable,weird,9,,,,
Intrinsic,weird,9,,,,
Outlandish,weird,9,,,,
Uncommon,weird,9,,,,
Abnormal,weird,10,,,,
Eccentric,weird,10,,,,
Exotic,weird,10,,,,
Extraordinary,weird,10,,,,
Grotesque,weird,10,,,,
Heteromorphic,weird,10,,,,
Inconceivable,weird,10,,,,
Inexplicable,weird,10,,,,
Uncommon,weird,10,,,,
Unnatural,weird,10,,,,
Extraordinary,fantastic,13,,Excellent,magnificent,10
Extravagant,fantastic,13,,Glorious,magnificent,10
Fabulous,fantastic,13,,Grandiose,magnificent,10
Grotesque,fantastic,13,,Ornate,magnificent,10
Imaginary,fantastic,13,,Palatial,magnificent,10
Ludicrous,fantastic,13,,Resplendent,magnificent,10
Outlandish,fantastic,13,,Sterling,magnificent,10
Phenomenal,fantastic,13,,Sumptuous,magnificent,10
Preposterous,fantastic,13,,Superb,magnificent,10
Prodigious,fantastic,13,,Superlative,magnificent,10
Ridiculous,fantastic,13,,,,
Transcendent,fantastic,13,,,,
Tremendous,fantastic,13,,,,
Extravagant,fantastic,4,,,,
Fictitious,fantastic,4,,,,
Grotesque,fantastic,4,,,,
Imaginary,fantastic,4,,,,
Baritone,fantastic,9,,,,
Excellent,fantastic,9,,,,
Glorious,fantastic,9,,,,
Immense,fantastic,9,,,,
Massive,fantastic,9,,,,
Memorable,fantastic,9,,,,
Potent,fantastic,9,,,,
Superb,fantastic,9,,,,
Tremendous,fantastic,9,,,,
Extraordinary,fantastic,8,,,,
Fabulous,fantastic,8,,,,
Glorious,fantastic,8,,,,
Memorable,fantastic,8,,,,
Noticeable,fantastic,8,,,,
Palpable,fantastic,8,,,,
Phenomenal,fantastic,8,,,,
Uncommon,fantastic,8,,,,
Extraordinary,fantastic,6,,,,
Fabulous,fantastic,6,,,,
Formidable,fantastic,6,,,,
Frightful,fantastic,6,,,,
Memorable,fantastic,6,,,,
Tremendous,fantastic,6,,,,
Effective,fantastic,6,,,,
Emphatic,fantastic,6,,,,
Magnificent,fantastic,6,,,,
Massive,fantastic,6,,,,
Memorable,fantastic,6,,,,
Potent,fantastic,6,,,,
Cosmic,huge,6,,,,
Enormous,huge,6,,,,
Extensive,huge,6,,,,
Gigantic,huge,6,,,,
Immense,huge,6,,,,
Massive,huge,6,,,,
Enormous,huge,6,,,,
Gigantic,huge,6,,,,
Immense,huge,6,,,,
Leviathan,huge,6,,,,
Tremendous,huge,6,,,,
Unwieldy,huge,6,,,,
Enormous,huge,5,,,,
Gigantic,huge,5,,,,
Immense,huge,5,,,,
Massive,huge,5,,,,
Prodigious,huge,5,,,,
Enormous,huge,5,,,,
Gigantic,huge,5,,,,
Immense,huge,5,,,,
Massive,huge,5,,,,
Prodigious,huge,5,,,,
Enormous,huge,4,,,,
Gigantic,huge,4,,,,
Leviathan,huge,4,,,,
Massive,huge,4,,,,
Enormous,huge,4,,,,
Immense,huge,4,,,,
Leviathan,huge,4,,,,
Massive,huge,4,,,,
Cosmic,huge,10,,,,
Enormous,huge,10,,,,
Gigantic,huge,10,,,,
Immeasurable,huge,10,,,,
Infinite,huge,10,,,,
Leviathan,huge,10,,,,
Massive,huge,10,,,,
Prodigious,huge,10,,,,
Tremendous,huge,10,,,,
Unlimited,huge,10,,,,
Enormous,huge,10,,,,
Extensive,huge,10,,,,
Gigantic,huge,10,,,,
Immense,huge,10,,,,
Infinite,huge,10,,,,
Leviathan,huge,10,,,,
Massive,huge,10,,,,
Prodigious,huge,10,,,,
Tremendous,huge,10,,,,
Unlimited,huge,10,,,,
Enormous,huge,9,,,,
Gigantic,huge,9,,,,
Grievous,huge,9,,,,
Grotesque,huge,9,,,,
Hideous,huge,9,,,,
Immense,huge,9,,,,
Infamous,huge,9,,,,
Leviathan,huge,9,,,,
Unspeakable,huge,9,,,,
Enormous,huge,7,,,,
Gigantic,huge,7,,,,
Immense,huge,7,,,,
Leviathan,huge,7,,,,
Massive,huge,7,,,,
Prodigious,huge,7,,,,
Tremendous,huge,7,,,,
Exorbitant,huge,7,,,,
Gigantic,huge,7,,,,
Immense,huge,7,,,,
Infinite,huge,7,,,,
Leviathan,huge,7,,,,
Massive,huge,7,,,,
Tremendous,huge,7,,,,
Cogent,strong,13,,,,
Decisive,strong,13,,,,
Drastic,strong,13,,,,
Effective,strong,13,,,,
Eloquent,strong,13,,,,
Emphatic,strong,13,,,,
Enthusiastic,strong,13,,,,
Forcible,strong,13,,,,
Insistent,strong,13,,,,
Stringent,strong,13,,,,
Tenacious,strong,13,,,,
Vehement,strong,13,,,,
Virile,strong,13,,,,
Baritone,strong,7,,,,
Courageous,strong,7,,,,
Energetic,strong,7,,,,
Influential,strong,7,,,,
Potent,strong,7,,,,
resilient,strong,7,,,,
Successful,strong,7,,,,
Dominant,strong,8,,,,
Effective,strong,8,,,,
Efficient,strong,8,,,,
Eloquent,strong,8,,,,
Energetic,strong,8,,,,
Irresistible,strong,8,,,,
Robust,strong,8,,,,
Significant,strong,8,,,,
,,,,,,
Eminent,outstanding,13,,,,
Excellent,outstanding,13,,,,
Extraordinary,outstanding,13,,,,
Leonine,outstanding,13,,,,
Magnificent,outstanding,13,,,,
Paramount,outstanding,13,,,,
Phenomenal,outstanding,13,,,,
Principal,outstanding,13,,,,
Prominent,outstanding,13,,,,
Sterling,outstanding,13,,,,
Successful,outstanding,13,,,,
Superb,outstanding,13,,,,
Superlative,outstanding,13,,,,
Eminent,distinguished,3,,,,
Excellent,distinguished,3,,,,
Leonine,distinguished,3,,,,
