Course,system,12
Machinery,system,12
Metaphysics,system,12
Morphology,system,12
Network,system,12
Philosophy,system,12
Rationalism,system,12
Regime,system,12
Resource,system,12
Technic,system,12
Technique,system,12
Abnormal,unusual,12
Alien,unusual,12
Causal,unusual,12
Erratic,unusual,12
Exotic,unusual,12
Extraordinary,unusual,12
Heteromorphic,unusual,12
Outlandish,unusual,12
Phenomenal,unusual,12
Uncommon,unusual,12
Unnatural,unusual,12
Whimsical,unusual,12
Depress,dull,11
Inactive,dull,11
Listless,dull,11
Mediocre,dull,11
Mitigate,dull,11
Monotonous,dull,11
Opaque,dull,11
Somber,dull,11
Tarnish,dull,11
Tiresome,dull,11
Trite,dull,11
Ardor,passion,11
Aspiration,passion,11
Craving,passion,11
Fervor,passion,11
Impulsion,passion,11
Ire,passion,11
Mania,passion,11
Monomania,passion,11
Pathos,passion,11
Poignancy,passion,11
Sensation,passion,11
Accuracy,skill,11
Competence,skill,11
Dexterity,skill,11
Efficiency,skill,11
Finesse,skill,11
Ingenuity,skill,11
Intelligence,skill,11
Mastery,skill,11
Proficiency,skill,11
Qualification,skill,11
Technique,skill,11
Abominable,vile,11
Contemptible,vile,11
Despicable,vile,11
Disreputable,vile,11
Infamous,vile,11
Lewd,vile,11
Nefarious,vile,11
Odious,vile,11
Repugnant,vile,11
Repulsive,vile,11
Sordid,vile,11
Degrade,weaken,11
Deplete,weaken,11
Depress,weaken,11
Deteriorate,weaken,11
Dwindle,weaken,11
Emaciate,weaken,11
Exhaust,weaken,11
Impair,weaken,11
Mitigate,weaken,11
Paralyze,weaken,11
Wane,weaken,11
Demeanor,attitude,10
Mentality,attitude,10
Metaphysics,attitude,10
Morale,attitude,10
Opinion,attitude,10
Perception,attitude,10
Perspective,attitude,10
Philosophy,attitude,10
Rationalism,attitude,10
Reaction,attitude,10
Appease,blunt,10
Brusque,blunt,10
Candid,blunt,10
Curt,blunt,10
Forthright,blunt,10
Impair,blunt,10
Mitigate,blunt,10
Mollify,blunt,10
Succinct,blunt,10
Undermine,blunt,10
Agile,buoyant,10
Ebullient,buoyant,10
Exuberant,buoyant,10
Festal,buoyant,10
Insuppressible,buoyant,10
Irrepressible,buoyant,10
Jovial,buoyant,10
resilient,buoyant,10
Sanguine,buoyant,10
Volatile,buoyant,10
Baffle,confuse,10
Embarrass,confuse,10
Entangle,confuse,10
Humiliate,confuse,10
Irritate,confuse,10
Misplace,confuse,10
Misrepresent,confuse,10
misunderstand,confuse,10
Perturb,confuse,10
Unsettle,confuse,10
Check,control,10
Discipline,control,10
Dominance,control,10
Dominate,control,10
Influence,control,10
Judicature,control,10
Jurisdiction,control,10
Magistracy,control,10
Maintain,control,10
Underlie,control,10
Annihilate,crush,10
Conquer,crush,10
Contuse,crush,10
Demolish,crush,10
Horde,crush,10
Humiliate,crush,10
Overpower,crush,10
Overthrow,crush,10
Repress,crush,10
Suppress,crush,10
Adjacency,district,10
Benefice,district,10
Borough,district,10
Constituency,district,10
Contiguity,district,10
Judicature,district,10
Jurisdiction,district,10
Loam,district,10
Magistracy,district,10
Municipality,district,10
Creed,doctrine,10
Dogma,doctrine,10
Metaphysics,doctrine,10
Orthodoxy,doctrine,10
Philosophy,doctrine,10
Principle,doctrine,10
Rationalism,doctrine,10
Tenet,doctrine,10
Theism,doctrine,10
Theology,doctrine,10
Cosmic,immense,10
Enormous,immense,10
Gigantic,immense,10
Immeasurable,immense,10
Infinite,immense,10
Leviathan,immense,10
Massive,immense,10
Prodigious,immense,10
Tremendous,immense,10
Unlimited,immense,10
Affect,influence,10
Dominance,influence,10
Dominate,influence,10
Domination,influence,10
Impulsion,influence,10
Judicature,influence,10
Jurisdiction,influence,10
Magistracy,influence,10
Origin,influence,10
Persuade,influence,10
Excellent,magnificent,10
Glorious,magnificent,10
Grandiose,magnificent,10
Ornate,magnificent,10
Palatial,magnificent,10
Resplendent,magnificent,10
Sterling,magnificent,10
Sumptuous,magnificent,10
Superb,magnificent,10
Superlative,magnificent,10
Accurate,proper,10
Appropriate,proper,10
Decent,proper,10
Equitable,proper,10
Legitimate,proper,10
Permissible,proper,10
Precise,proper,10
Relevant,proper,10
Rightful,proper,10
Rigorous,proper,10
